"Time","outgoing"
"12/08/2024, 10:05:00 PM",573 Mb
"12/08/2024, 10:10:00 PM",278 Mb
"12/08/2024, 10:15:00 PM",299 Mb
"12/08/2024, 10:20:00 PM",233 Mb
"12/08/2024, 10:25:00 PM",248 Mb
"12/08/2024, 10:30:00 PM",552 Mb
"12/08/2024, 10:35:00 PM",319 Mb
"12/08/2024, 10:40:00 PM",308 Mb
"12/08/2024, 10:45:00 PM",202 Mb
"12/08/2024, 10:50:00 PM",223 Mb
"12/08/2024, 10:55:00 PM",308 Mb
"12/08/2024, 11:00:00 PM",292 Mb
"12/08/2024, 11:05:00 PM",530 Mb
"12/08/2024, 11:10:00 PM",136 Mb
"12/08/2024, 11:15:00 PM",485 Mb
"12/08/2024, 11:20:00 PM",165 Mb
"12/08/2024, 11:25:00 PM",469 Mb
"12/08/2024, 11:30:00 PM",176 Mb
"12/08/2024, 11:35:00 PM",187 Mb
"12/08/2024, 11:40:00 PM",261 Mb
"12/08/2024, 11:45:00 PM",131 Mb
"12/08/2024, 11:50:00 PM",419 Mb
"12/08/2024, 11:55:00 PM",285 Mb
"12/09/2024, 12:05:00 AM",147 Mb
"12/09/2024, 12:10:00 AM",334 Mb
"12/09/2024, 12:15:00 AM",274 Mb
"12/09/2024, 12:20:00 AM",228 Mb
"12/09/2024, 12:25:00 AM",772 Mb
"12/09/2024, 12:30:00 AM",509 Mb
"12/09/2024, 12:35:00 AM",409 Mb
"12/09/2024, 12:40:00 AM",240 Mb
"12/09/2024, 12:45:00 AM",286 Mb
"12/09/2024, 12:50:00 AM",522 Mb
"12/09/2024, 12:55:00 AM",399 Mb
"12/09/2024, 01:00:00 AM",360 Mb
"12/09/2024, 01:05:00 AM",558 Mb
"12/09/2024, 01:10:00 AM",370 Mb
"12/09/2024, 01:15:00 AM",460 Mb
"12/09/2024, 01:20:00 AM",607 Mb
"12/09/2024, 01:25:00 AM",465 Mb
"12/09/2024, 01:30:00 AM",533 Mb
"12/09/2024, 01:35:00 AM",268 Mb
"12/09/2024, 01:40:00 AM",817 Mb
"12/09/2024, 01:45:00 AM",253 Mb
"12/09/2024, 01:50:00 AM",299 Mb
"12/09/2024, 01:55:00 AM",153 Mb
"12/09/2024, 02:00:00 AM",288 Mb
"12/09/2024, 02:05:00 AM",247 Mb
"12/09/2024, 02:10:00 AM",315 Mb
"12/09/2024, 02:15:00 AM",245 Mb
"12/09/2024, 02:20:00 AM",178 Mb
"12/09/2024, 02:25:00 AM",313 Mb
"12/09/2024, 02:30:00 AM",212 Mb
"12/09/2024, 02:35:00 AM",348 Mb
"12/09/2024, 02:40:00 AM",524 Mb
"12/09/2024, 02:45:00 AM",401 Mb
